Channel,Component_1,Component_2
Channel 1,2.221721739176133,0.7309415735225265
Channel 2,0.0739295165225462,0.3616565546260037
Channel 3,0.03915470182789495,0.36111994388831786
Channel 4,0.5229104253367359,0.007433609037396632
Channel 5,1.1926367742176909,2.684986862300881
Channel 6,5.528961888163172,0.7419977075652595
Channel 7,0.7405609749956167,0.6749776460943031
Channel 8,1.2542429054580078,0.21912072170892355
Channel 9,0.09417620901941964,0.010425592966818184
Channel 10,0.2151541247074384,1.1855200710848388
Channel 11,0.19342769663392695,0.13132617278682515
Channel 12,0.34858179129969746,4.6897060684122245
Channel 13,0.25683692378223394,1.326109443280948
Channel 14,0.03668272886928502,2.8141877589385786
Channel 15,2.0063530992773977,0.3159029936660727
Channel 16,3.391390731567654,0.9012489498851769
Channel 17,0.07199910825795153,1.503346445288443
Channel 18,0.36036248664880327,1.8317362317931205
Channel 19,0.7693819861859834,0.4218719494728852
Channel 20,1.0224873799320306,0.47769993392565924
Channel 21,0.20209338055621318,0.010837489543727055
Channel 22,0.012288150634982418,2.4327080297408394
Channel 23,1.6940862221900208,0.457150716914522
Channel 24,0.03190037146908033,1.044919740935752
Channel 25,0.00040082501515751993,0.0027659682233123523
Channel 26,0.5213156733630991,0.014077546908395893
Channel 27,0.18350318213891173,0.36178591242945735
Channel 28,2.432177219318744,0.065828510710673
Channel 29,0.43711378990989436,0.00656788328569676
Channel 30,3.156389067547183,0.0918541155432099
Channel 31,1.375303483169362,0.8652431514913868
Channel 32,1.3591649489159254,1.3141106853727322
Channel 33,0.3010161290586935,2.115724265281094
Channel 34,1.0443241044352225,1.0089680026882377
Channel 35,4.5286055905199945,0.29471675027728506
Channel 36,0.1831796172957464,3.919815671836672
Channel 37,0.1966942998473958,0.46018542859802775
Channel 38,1.6192423833984577,2.50453660759236
Channel 39,0.0015367856499518,0.08514544010945789
Channel 40,0.7932968642398427,1.8816026474005623
Channel 41,2.8670391144555625,0.7318631919190373
Channel 42,0.0031310784668996867,0.7719656260802179
Channel 43,0.04603574966811733,0.00676009244403969
Channel 44,0.3801560793779677,0.24516985718154338
Channel 45,0.11968455566970654,0.4696496075974092
Channel 46,3.45581336476661,3.9459979797050972
Channel 47,1.7047329132386997,0.3809104278552925
Channel 48,0.04245924801192646,2.5206992192683484
Channel 49,0.28608522008819276,3.7805507970925896
Channel 50,0.18434536884918146,0.2213008356504439
Channel 51,0.49497506327939356,0.9746672621979754
Channel 52,0.618076424165598,0.6484118726382745
Channel 53,0.059681556260004716,1.797799524188389
Channel 54,0.01715380329064458,1.0265400370464075
Channel 55,3.9207789824673593,0.34748950654094385
Channel 56,0.03790062048208965,0.08429865306900576
Channel 57,0.8079548212414035,0.11350380960850129
Channel 58,0.2619326400272435,1.2076901337229262
Channel 59,0.3082567466833805,0.0058044966791153466
Channel 60,0.0017934502278940784,0.5734100998504932
Channel 61,1.8848066781533765,2.503702485549744e-06
Channel 62,1.0341208241493043,0.1030224043220782
Channel 63,0.264146639467888,0.2230146070162351
Channel 64,0.612777657603947,0.606239527892316
Channel 65,0.1679097732779602,0.1394101955802034
Channel 66,0.6316282819860053,0.151195471599335
Channel 67,0.3454898974241361,0.4541471539939871
Channel 68,1.2844811361623407,0.18195094991048036
Channel 69,2.119750243274993,0.07004664516771168
Channel 70,0.11901533227366176,0.3176111377536861
Channel 71,4.531508081917125,0.0037511571940085633
Channel 72,0.5819822358606007,6.3793681454523
Channel 73,3.3675380676253273,0.3968642361444122
Channel 74,0.21127645839337694,1.461193689466922
Channel 75,0.4393006950526809,0.8367797757649262
Channel 76,0.01641778446559613,3.77386209785281
Channel 77,0.40643041489702036,1.5301838964554848
Channel 78,0.46221567403262115,0.8950908788176716
Channel 79,3.2570967768055508,0.0084529509173912
Channel 80,0.6305350788908631,1.2417398420571386
Channel 81,0.06868954609737626,3.870214920412222
Channel 82,0.012543812158809781,0.31355887233001134
Channel 83,0.28469458053256147,2.5541955578369286
Channel 84,1.0418534340119079,3.0053819749390014
Channel 85,0.26010757107871896,0.3090555663132298
Channel 86,3.750648324312178,0.8738917476768557
Channel 87,0.07491149479163661,0.2272012478735155
Channel 88,0.4305452536910486,0.09678683855036405
Channel 89,2.516465163863644,0.00014526327520864753
Channel 90,2.460749170504646,0.019133943595105646
Channel 91,0.44180757075567473,2.4576352576486484
Channel 92,0.003902842271971458,0.37705378906614684
Channel 93,0.05914998359244797,0.04125846335905375
Channel 94,0.00010375189200298802,1.2170006418527461
Channel 95,2.629842877026601,0.025074199455005993
Channel 96,1.1007573578134187,0.005532349270565259
Channel 97,0.3726341048746952,0.031274688764179145
Channel 98,0.002457098573815553,1.401702341305941
Channel 99,1.4318711113872118,2.180071553643458
Channel 100,4.655265137783898,2.0355596903055924
